age,education-num,hours-per-week,>50k,>50k_hat
38,13,40,1,1
48,10,40,0,0
25,12,40,0,0
49,10,40,1,1
40,12,42,1,1
22,10,35,0,0
35,14,40,1,1
43,13,50,0,1
21,10,70,0,0
46,7,40,1,0
34,10,48,0,0
37,2,40,0,0
17,6,8,0,0
57,10,40,1,1
46,9,28,1,1
39,14,40,1,1
30,13,60,1,0
23,13,40,0,0
56,4,40,0,0
21,9,40,0,0
40,9,50,0,0
61,13,40,1,1
44,9,40,0,0
30,13,40,1,0
31,9,40,1,1
63,13,40,1,1
34,5,40,0,0
54,14,40,1,1
61,9,40,0,0
28,10,40,1,1
42,16,40,0,0
30,14,45,1,1
18,6,10,0,0
58,13,50,0,1
25,5,40,0,0
53,13,44,1,1
46,9,40,0,0
56,10,20,0,0
26,13,40,0,0
41,14,40,0,0
55,14,40,0,0
55,5,40,0,0
31,10,40,0,0
29,9,38,0,0
35,10,40,0,0
20,9,40,0,0
24,9,45,0,0
47,10,40,0,1
33,9,50,0,0
58,9,40,0,0
31,13,40,0,0
65,4,40,0,0
44,13,56,1,1
25,13,40,0,0
25,9,40,0,0
37,9,40,0,0
25,9,48,0,0
26,10,40,0,0
32,9,2,1,0
34,13,40,1,1
33,10,40,0,0
38,13,65,1,1
41,14,55,1,1
22,9,20,0,0
25,9,45,0,0
37,15,60,1,1
72,10,20,0,0
47,7,40,0,0
28,12,20,0,0
47,9,45,1,0
20,9,35,0,0
73,9,15,0,0
25,13,20,0,0
54,8,40,0,1
34,10,40,0,0
43,13,35,1,1
59,14,60,0,1
59,14,40,1,0
48,15,45,1,1
51,13,40,1,1
22,10,24,0,0
43,9,40,1,0
51,9,40,1,0
21,10,40,0,0
22,10,38,0,0
40,11,40,0,0
52,9,40,0,0
26,4,40,0,0
46,10,40,1,1
53,9,72,0,1
36,6,60,0,0
34,13,45,1,1
28,13,45,0,0
36,10,35,0,0
17,7,20,0,0
68,10,30,0,0
31,9,27,0,0
44,9,40,0,0
70,10,5,0,0
46,15,60,1,1
40,9,40,0,0
28,9,20,0,1
37,13,40,0,1
61,10,50,1,0
42,7,50,0,0
41,10,25,0,0
27,9,40,0,0
36,10,20,1,0
26,9,40,0,0
47,14,60,1,1
25,9,40,0,0
35,9,40,0,0
56,13,65,0,0
58,4,40,0,0
41,10,40,0,0
47,9,45,0,1
54,13,50,1,1
18,9,25,0,0
29,13,40,1,1
42,14,40,0,0
27,8,45,0,0
21,10,40,0,0
33,11,40,0,0
32,3,60,0,0
18,10,40,0,0
30,11,40,0,0
20,10,40,0,0
41,14,38,1,1
63,9,48,0,0
30,10,48,0,0
45,9,35,0,0
18,8,20,0,0
38,10,40,1,1
28,13,40,0,0
39,9,16,0,0
22,10,20,0,0
50,10,40,0,0
46,15,50,1,1
57,2,40,0,0
37,10,50,0,1
19,10,35,0,0
39,13,40,0,1
42,4,40,0,0
21,10,40,0,0
62,13,30,0,0
67,10,20,0,0
34,9,30,0,0
69,9,40,1,0
21,10,30,0,0
47,13,40,0,1
35,13,50,1,1
19,10,15,0,0
50,9,40,0,0
32,13,50,1,1
17,7,35,0,0
62,11,40,1,1
32,13,45,0,0
41,12,40,1,1
47,10,40,0,0
28,13,55,0,0
42,10,50,0,0
40,10,40,0,0
33,11,40,0,0
79,7,7,0,0
44,15,50,1,1
29,12,45,0,0
26,9,40,1,0
36,9,50,1,1
23,7,40,0,0
18,7,15,0,0
18,8,20,0,0
29,10,40,1,0
54,9,70,0,0
25,9,48,0,0
27,9,45,0,0
21,10,30,0,0
24,13,50,0,0
47,10,40,0,0
20,10,15,0,0
40,13,48,0,1
34,9,50,0,0
17,7,16,0,0
40,9,43,0,0
31,9,40,0,0
59,14,40,0,0
50,11,40,0,0
53,14,55,1,1
58,10,40,0,0
22,9,10,0,0
57,9,15,0,0
36,13,50,0,0
33,9,40,0,0
29,6,40,0,0
22,10,16,0,0
34,10,45,1,1
56,14,40,1,1
27,6,55,0,0
39,13,50,1,1
40,1,40,0,0
32,13,45,0,1
45,10,50,0,0
33,13,40,0,0
33,9,50,0,0
47,15,35,0,1
41,10,40,0,0
30,13,45,1,1
27,16,40,0,0
68,5,20,0,0
38,13,45,1,1
35,11,42,1,1
34,7,40,0,0
19,10,15,0,0
20,5,20,0,0
49,9,40,0,0
39,9,50,0,0
52,9,60,1,1
66,9,40,0,0
46,12,40,0,0
28,9,60,0,0
38,8,50,0,0
49,11,45,1,0
32,12,45,0,0
36,9,40,0,0
50,9,55,1,1
24,13,50,0,0
29,5,40,0,0
55,9,40,0,0
23,9,40,0,0
18,7,30,0,0
60,9,40,0,0
47,9,40,0,0
34,4,40,0,0
47,9,42,1,1
29,10,37,0,0
36,13,4,1,1
59,15,40,1,1
19,10,15,0,0
40,15,60,1,1
31,9,40,0,0
45,10,20,0,0
51,9,40,0,0
42,15,60,0,1
31,9,40,0,0
50,14,50,0,1
49,4,45,0,0
54,10,40,1,1
40,13,40,0,0
80,4,35,0,0
44,9,50,0,0
42,9,45,0,0
40,12,40,0,0
36,5,40,0,0
39,10,35,0,0
33,13,40,1,1
46,7,27,0,0
55,9,60,0,0
20,9,40,0,0
35,6,40,0,0
62,9,40,0,0
49,4,40,0,0
46,3,40,0,0
35,9,40,0,0
36,4,35,0,0
21,10,15,0,0
19,10,16,0,0
36,9,40,0,0
43,10,50,1,1
31,9,40,0,0
31,9,55,0,0
31,9,40,0,0
30,10,40,1,1
33,13,35,0,0
31,14,46,0,0
33,14,40,0,0
18,9,40,0,0
55,9,40,0,0
47,14,40,1,1
36,10,40,0,1
51,13,20,1,0
39,5,34,0,0
32,10,38,0,0
39,12,55,0,0
38,9,40,0,0
27,9,40,0,0
49,15,55,1,0
70,10,35,0,0
24,14,45,0,0
56,4,40,0,0
45,9,20,0,0
34,14,45,1,1
24,12,40,0,0
55,9,50,1,1
36,3,40,0,0
54,9,40,0,0
24,9,36,0,0
36,13,45,0,0
44,13,40,0,1
42,12,40,1,0
47,7,15,0,0
64,16,40,1,1
31,7,40,0,0
38,12,36,0,0
26,12,15,0,0
27,7,35,0,0
31,13,60,1,0
26,9,45,0,0
33,9,46,0,0
81,6,28,0,0
52,16,57,1,1
37,9,35,0,0
34,9,40,0,0
51,9,70,0,0
64,4,40,1,0
67,9,12,0,0
25,10,30,0,0
30,11,40,0,0
37,7,25,0,0
17,6,15,0,0
60,10,55,0,0
33,8,40,0,0
35,11,60,0,0
50,14,60,1,1
25,9,25,0,0
26,9,40,0,0
59,13,50,1,1
90,9,24,0,0
39,10,40,0,0
37,12,45,0,1
29,9,20,0,0
38,11,40,0,0
58,9,40,0,0
32,9,40,1,0
21,10,40,0,0
29,13,41,0,1
59,9,60,0,0
36,13,35,1,1
29,13,45,0,0
39,14,50,1,1
31,5,48,0,0
47,9,40,0,0
29,9,50,0,0
20,10,30,0,0
54,16,40,1,1
30,11,40,0,0
33,4,14,0,0
52,13,30,1,1
39,9,40,0,0
34,9,40,0,0
21,9,40,0,0
33,9,50,0,0
28,7,40,0,0
23,8,46,0,0
38,9,40,0,0
27,13,48,0,1
42,6,35,0,0
46,9,40,0,0
23,13,40,0,0
32,13,45,0,0
23,10,40,0,0
23,9,40,0,0
62,9,84,0,0
52,13,40,0,1
20,10,30,0,0
29,9,48,0,0
18,6,6,0,0
29,3,25,0,0
40,9,40,0,0
50,9,70,0,0
50,12,45,0,0
31,9,40,1,0
32,12,40,0,0
52,13,60,1,1
29,9,40,0,0
41,9,50,0,0
22,9,40,0,0
31,9,50,0,0
43,10,48,1,0
50,6,40,0,0
44,11,40,1,0
45,9,40,0,0
30,9,50,0,0
35,9,40,1,0
54,9,35,0,0
44,13,50,1,1
47,13,25,0,0
60,13,40,1,0
42,10,40,1,0
56,11,48,1,1
20,10,40,0,0
21,10,6,0,0
36,12,37,0,1
50,9,32,0,0
29,12,40,1,0
58,13,37,0,0
30,10,40,0,0
25,13,50,0,0
18,7,12,0,0
38,10,40,0,1
46,9,40,0,1
36,10,45,0,1
42,9,40,1,0
45,12,40,0,0
25,5,40,0,0
18,10,20,0,0
43,10,50,1,1
19,10,40,0,0
48,9,36,0,1
50,9,40,0,0
42,9,50,1,1
42,9,40,0,0
47,9,40,0,0
39,9,62,0,0
61,10,40,1,1
53,13,55,0,0
48,10,40,0,0
53,9,40,0,0
34,10,40,0,0
25,5,40,0,0
41,9,6,0,0
51,9,40,0,0
37,9,40,1,0
63,4,40,0,0
20,9,40,0,0
49,4,70,0,0
41,9,50,0,0
44,12,99,0,0
22,10,28,0,0
47,14,50,1,1
46,9,58,1,1
33,3,20,0,0
26,13,20,0,0
40,9,40,1,1
20,10,35,0,0
33,10,41,0,0
28,10,40,0,0
41,11,55,0,0
47,16,40,1,1
60,10,40,1,0
36,13,40,0,0
36,12,50,1,1
50,13,40,0,0
27,10,45,0,0
30,9,65,1,0
43,9,40,1,1
38,10,40,0,0
53,9,46,1,0
22,10,40,0,0
41,10,40,1,1
61,10,40,0,0
43,14,55,0,1
23,7,40,0,0
42,12,42,1,1
25,10,35,0,0
49,9,40,0,0
18,10,4,0,0
20,10,6,0,0
33,13,50,1,1
34,8,40,0,0
53,9,40,0,1
19,8,40,0,0
61,6,24,0,0
35,5,35,0,0
35,10,60,0,0
44,13,50,1,1
66,11,35,0,0
51,9,45,0,0
55,14,40,1,1
54,4,40,0,0
54,3,51,0,0
22,10,30,0,0
49,13,60,1,1
36,10,40,0,0
29,13,40,1,1
36,10,42,1,0
23,10,50,0,0
74,9,20,0,0
26,13,48,0,0
19,9,45,0,0
24,12,40,0,0
34,13,45,0,0
25,9,40,0,0
22,9,46,0,0
19,10,15,0,0
45,13,56,0,0
38,9,40,0,0
28,9,40,0,0
39,14,40,0,0
26,9,40,0,0
64,9,40,1,1
42,9,40,0,0
64,7,16,0,0
28,11,50,0,0
45,9,40,0,0
36,14,30,0,0
30,13,4,0,0
33,15,40,1,1
48,9,8,0,0
51,13,50,1,1
22,10,25,0,0
43,13,40,1,1
50,11,60,1,0
34,7,40,0,0
29,10,40,0,0
38,10,40,0,1
23,10,40,0,0
21,10,10,0,0
40,15,40,1,1
50,9,40,1,1
36,10,56,0,0
58,7,40,0,0
59,9,40,1,1
47,14,50,1,1
56,12,40,0,0
53,10,55,0,1
27,11,45,0,0
50,7,40,1,0
27,6,48,0,0
33,12,40,0,0
20,9,40,0,0
38,10,50,0,1
22,5,30,0,0
40,10,40,0,1
38,7,48,1,0
35,7,40,0,0
24,9,40,0,0
41,13,56,0,0
48,16,60,1,1
49,8,40,1,0
32,10,50,1,1
19,9,15,0,0
36,11,99,0,0
29,13,50,1,0
22,11,30,0,0
51,6,45,0,0
24,10,50,1,1
32,9,40,0,0
52,9,40,1,1
26,11,60,0,0
23,10,40,0,0
34,6,40,0,0
47,14,40,0,0
47,9,40,0,0
33,9,94,0,0
52,11,40,0,1
24,10,60,0,0
46,16,60,1,1
38,13,50,0,1
19,10,50,0,0
22,11,40,0,0
66,9,40,1,0
51,12,60,0,1
81,4,10,0,0
45,12,40,0,0
31,8,40,0,0
29,9,55,0,0
53,3,24,0,0
30,10,40,0,0
64,4,40,0,0
39,14,40,1,1
38,15,50,1,1
43,10,40,0,0
20,9,20,0,0
64,9,16,0,0
63,2,30,0,0
58,11,56,0,0
54,10,40,0,0
35,14,35,1,1
42,9,46,0,0
39,13,55,0,1
30,9,60,0,0
27,10,40,0,0
36,10,40,1,0
55,10,40,0,0
49,13,40,0,0
34,13,15,0,0
28,13,40,0,0
48,10,40,0,0
52,9,40,1,1
27,9,38,0,0
50,9,40,1,1
37,12,50,1,1
39,13,40,1,1
62,14,40,0,0
28,10,45,0,0
42,10,50,1,0
36,9,45,1,0
51,14,50,1,1
44,9,40,0,0
50,10,35,1,1
53,13,40,1,1
19,10,30,0,0
32,13,50,0,1
19,10,30,0,0
23,12,40,0,0
29,9,50,0,0
24,6,40,0,0
29,10,40,0,0
61,4,31,0,0
44,13,40,1,1
34,9,90,0,0
54,13,50,0,0
55,9,20,0,0
55,9,40,1,1
32,6,40,0,0
54,9,40,0,0
33,9,40,0,0
50,9,40,0,0
41,6,48,0,0
38,10,55,0,0
29,9,20,0,0
48,10,30,0,0
36,14,40,1,1
35,13,35,1,1
21,10,40,0,0
21,7,40,0,0
42,16,60,1,1
24,10,40,0,0
34,9,40,0,0
29,9,40,0,0
50,10,28,0,0
25,10,40,0,0
65,13,40,0,0
52,13,50,1,1
35,13,40,0,1
39,9,40,1,0
41,13,40,0,0
47,9,40,0,0
55,9,40,0,0
51,4,40,0,0
37,16,99,1,1
40,9,30,0,0
36,16,45,0,0
42,10,45,0,0
25,8,40,0,0
44,4,25,0,0
58,10,12,0,0
39,13,40,1,1
28,13,50,0,0
19,10,40,0,0
30,7,40,0,0
31,15,55,0,1
45,13,40,1,1
37,9,40,0,0
29,10,40,0,0
42,9,25,0,0
29,9,40,0,0
28,13,52,0,0
50,4,49,0,0
34,13,40,1,1
83,9,55,0,0
33,6,40,0,0
49,9,40,0,0
24,11,20,0,0
34,11,40,1,0
51,10,60,0,0
24,9,40,0,0
43,12,40,0,1
39,13,60,1,1
48,10,53,0,0
19,10,30,0,0
50,14,30,0,0
47,13,40,0,0
48,13,40,1,1
25,10,35,0,0
40,14,40,1,0
55,9,40,0,0
30,14,40,1,1
59,13,40,1,1
37,12,45,1,1
31,10,35,0,0
21,10,35,0,0
50,13,40,0,1
34,13,40,0,0
35,10,40,0,0
28,10,40,0,0
47,5,40,0,0
44,10,40,0,0
49,9,45,1,1
36,9,48,0,0
35,13,40,0,0
38,10,50,1,1
22,10,16,0,0
45,9,50,1,1
24,13,45,0,0
21,10,20,0,0
19,10,20,0,0
18,10,24,0,0
32,9,40,0,0
90,10,40,0,0
20,10,15,0,0
50,3,35,0,0
41,5,40,0,0
49,4,40,0,0
27,4,45,0,0
58,13,70,1,1
24,12,20,0,0
42,9,45,0,0
45,9,10,0,0
34,10,30,0,0
59,10,34,0,0
50,9,12,0,0
35,13,40,1,1
39,13,40,0,0
31,10,20,0,0
27,12,42,0,0
29,7,40,0,0
56,9,90,0,0
31,9,40,0,0
58,9,40,0,0
22,9,40,0,0
40,10,50,0,0
37,9,45,0,0
29,13,40,0,0
49,13,40,0,0
34,9,40,0,0
45,9,40,0,0
54,10,40,1,1
38,10,15,0,0
50,9,40,0,0
55,6,40,0,0
27,14,40,0,0
45,9,40,0,0
21,11,40,0,0
51,13,70,1,1
53,9,40,0,0
21,10,20,0,0
57,10,40,0,0
45,9,40,0,0
19,9,30,0,0
28,9,40,0,0
20,10,72,0,0
23,11,50,0,0
30,13,40,0,1
19,10,35,0,0
51,9,35,0,0
43,14,40,0,0
33,6,45,0,0
37,11,40,0,0
32,9,40,0,0
27,10,25,0,0
21,6,50,0,0
57,10,48,0,0
48,13,40,0,1
37,13,40,0,0
49,10,60,0,0
40,9,45,0,0
20,9,40,0,0
24,9,30,0,0
22,10,40,0,0
24,9,40,0,0
26,9,40,0,0
17,8,20,0,0
21,10,25,0,0
50,11,50,1,1
40,10,60,0,0
43,13,40,1,0
21,10,40,0,0
38,9,50,0,0
66,13,40,1,1
27,10,40,0,0
38,13,37,0,1
54,9,40,1,0
31,14,45,0,0
34,9,44,1,0
34,15,40,0,0
41,9,40,1,0
65,6,20,0,0
44,12,40,1,0
25,9,30,0,0
25,10,60,0,0
24,10,40,1,0
29,9,40,0,0
60,4,40,0,0
41,13,40,0,0
46,13,40,1,1
46,14,44,0,0
18,7,4,0,0
47,10,55,0,0
20,10,30,0,0
23,10,25,0,0
66,13,8,0,0
31,9,50,0,0
48,10,45,1,0
32,13,55,0,0
66,13,40,1,1
43,9,40,0,0
17,8,40,0,0
50,7,40,0,0
27,3,40,0,0
39,13,40,0,1
23,13,23,0,0
22,10,42,0,0
44,10,50,0,0
41,9,40,0,0
37,9,60,0,0
48,13,40,1,1
21,7,40,0,0
37,9,40,1,1
38,13,54,1,1
57,3,40,0,0
33,9,40,0,0
33,10,40,0,0
41,12,60,1,1
37,3,40,0,0
36,12,40,0,0
69,9,8,0,0
46,9,43,0,0
72,9,40,0,0
43,9,40,1,0
46,15,60,1,1
32,13,40,0,1
37,9,48,1,1
34,9,50,0,0
22,13,40,0,0
26,10,42,0,1
52,9,40,0,0
63,9,20,0,0
38,9,36,1,0
67,8,20,0,0
30,11,60,0,0
33,9,60,1,0
50,9,10,0,0
36,9,40,0,0
37,9,55,0,0
59,15,25,0,1
73,13,75,0,0
25,9,48,0,0
38,10,50,0,1
38,9,60,0,0
42,9,40,0,0
38,9,45,0,0
23,13,20,0,0
37,9,40,0,0
44,13,60,1,1
57,9,40,0,0
52,10,60,1,1
35,13,65,0,0
23,9,50,0,0
32,13,50,1,0
33,9,40,0,0
35,10,60,0,0
41,14,40,0,1
20,10,20,0,0
40,4,40,0,0
25,10,40,0,0
48,15,50,1,1
38,4,36,0,0
31,9,40,0,0
39,8,40,0,0
17,8,30,0,0
31,13,45,1,1
40,9,40,0,0
21,10,40,0,0
54,9,55,1,1
54,10,40,1,1
31,9,35,0,0
36,10,50,0,0
19,10,22,0,0
39,14,50,1,1
51,9,40,1,0
52,7,40,0,0
42,15,50,1,1
39,9,40,0,0
29,14,40,1,1
22,12,6,0,0
26,10,24,0,0
24,13,65,0,0
67,14,99,0,0
39,9,40,0,0
35,9,40,0,0
56,9,40,0,0
32,7,60,1,1
44,14,55,0,0
46,10,55,0,0
29,10,80,0,0
45,5,40,1,1
22,10,40,0,0
21,12,40,0,0
60,9,40,1,1
63,9,40,1,1
36,13,50,0,1
41,11,40,0,0
70,15,35,1,1
45,9,40,0,0
37,9,40,0,0
23,7,40,0,0
51,7,40,0,0
61,9,40,0,0
48,9,45,0,0
36,10,40,0,0
29,10,52,0,0
29,8,40,0,0
43,13,35,0,1
35,9,65,0,0
37,10,60,1,1
34,13,55,1,1
34,9,40,0,0
29,3,40,0,0
58,2,18,0,0
40,13,48,0,0
58,10,40,1,1
43,13,40,0,0
38,9,38,0,0
43,10,48,0,0
51,10,40,0,0
28,9,20,0,0
37,9,40,0,0
55,4,50,0,0
66,4,48,0,0
51,9,60,1,1
32,15,40,1,1
22,10,40,0,0
21,10,10,0,0
48,9,40,0,0
48,12,44,0,0
36,1,40,0,0
44,9,40,0,0
58,6,50,0,0
60,9,50,0,0
70,5,25,0,0
49,6,40,0,0
44,13,40,0,1
32,3,45,0,0
34,13,38,0,1
34,10,38,0,0
24,14,35,1,0
58,9,53,1,0
25,11,15,0,0
36,14,60,1,1
18,8,40,0,0
36,14,40,0,1
60,9,50,1,1
37,13,40,1,1
43,13,40,1,0
26,10,40,0,0
68,9,40,0,0
26,5,45,0,0
65,13,40,0,0
44,9,40,0,0
37,9,50,0,0
34,9,40,0,0
26,9,40,0,0
38,13,40,1,1
41,13,55,1,1
42,10,30,0,0
30,13,42,1,1
22,10,30,0,0
49,12,30,0,0
33,9,35,0,0
58,10,40,1,1
45,9,40,1,1
35,9,20,0,0
43,9,44,0,0
19,10,24,0,0
58,10,40,1,1
23,9,25,0,0
50,9,40,1,0
59,9,40,1,0
27,9,28,0,0
57,11,40,0,0
33,13,45,0,1
29,13,50,0,0
45,10,40,0,0
60,10,40,0,0
44,13,37,0,0
67,7,40,0,0
36,9,45,0,0
43,10,40,0,1
19,9,40,0,0
50,9,45,1,1
21,10,4,0,0
30,9,20,0,0
39,9,40,0,0
54,6,65,0,0
27,10,50,1,0
35,9,60,0,0
55,13,50,1,1
33,13,45,1,1
33,8,40,0,0
28,9,40,0,0
23,10,20,0,0
65,7,59,1,1
17,7,23,0,0
52,10,40,0,0
32,13,20,0,0
50,14,45,0,0
20,10,30,0,0
34,15,55,1,1
41,14,40,0,0
31,16,60,0,0
53,15,60,1,1
19,9,30,0,0
32,13,40,1,1
38,9,40,0,0
25,10,40,1,0
20,10,15,0,0
41,10,40,0,0
35,5,30,0,0
31,9,40,0,0
57,10,40,0,0
25,10,60,0,0
20,10,45,0,0
46,10,40,0,1
41,15,50,1,1
31,9,50,0,0
34,10,60,1,1
45,7,40,0,0
20,11,40,0,0
58,9,40,0,0
36,9,50,0,0
53,6,40,1,0
35,14,65,1,1
